ID,Category,Name,Details,URL
164,processor,"AMD RYZEN 3 3200G OPEN BOX OEM PROCESSOR WITH RADEON RX VEGA 8 GRAPHICS (4 CORES 4 THREADS WITH MAX BOOST CLOCK OF 4GHz,BASE CLOCK OF 3.6GHz AND 6MB GAME CACHE)","AMD RYZEN 3 3200G OPEN BOX OEM PROCESSOR WITH RADEON RX VEGA 8 GRAPHICS (4 CORES 4 THREADS WITH MAX BOOST CLOCK OF 4GHz,BASE CLOCK OF 3.6GHz AND 6MB GAME CACHE) @ RYZEN",pcpricetracker.in/gen/products/ac28e64ddbbd840448ab267b6531158c
165,processor,"AMD RYZEN 5 3400G OPEN BOX OEM PROCESSOR WITH RADEON RX VEGA 11 GRAPHICS (4 CORES 8 THREADS WITH MAX BOOST CLOCK OF 4.2GHZ, BASE CLOCK OF 3.7GHZ AND 6MB GAME CACHE)","AMD RYZEN 5 3400G OPEN BOX OEM PROCESSOR WITH RADEON RX VEGA 11 GRAPHICS (4 CORES 8 THREADS WITH MAX BOOST CLOCK OF 4.2GHZ, BASE CLOCK OF 3.7GHZ AND 6MB GAME CACHE)",pcpricetracker.in/gen/products/2fde132af4bff4a5d10ca04fae406e3e
166,processor,INTEL CORE i5-11400 DESKTOP PROCESSOR,INTEL CORE i5-11400 DESKTOP PROCESSOR,pcpricetracker.in/gen/products/1b21372e7ac27ba912bb585a398f9f90
167,processor,AMD 4700S 8 CORE PROCESSOR OPEN BOX OEM DESKTOP KIT (ADV100-900000005),AMD 4700S 8 CORE PROCESSOR OPEN BOX OEM DESKTOP KIT (ADV100-900000005) @ ADV100-900000005,pcpricetracker.in/gen/products/ce9f8c848137c5f3f897f3a6f2dfff1c
168,processor,Intel Core I7-4930K Cpu,Intel Core I7-4930K Cpu @ INTEL CORE I7-4930K CPU,pcpricetracker.in/gen/products/a7e2dda197e3634cd1a09100db0695a9
169,processor,AMD Ryzen 5 5600G 6 Core Processor,AMD Ryzen 5 5600G 6 Core Processor @ Ryzen 5 5600G,pcpricetracker.in/gen/products/db057152dc17593e8c4582cbe4995537
170,processor,AMD Ryzen 5 5700G 8 Core Processor,AMD Ryzen 5 5700G 8 Core Processor @ Ryzen 7 5700G,pcpricetracker.in/gen/products/d5b58df3153634c998eb5b7d4e23738a
171,processor,Intel Core i3-10105 3.7 GHz Quad-Core LGA 1200 Processor BX8070110105,Intel Core i3-10105 3.7 GHz Quad-Core LGA 1200 Processor BX8070110105 @ BX8070110105,pcpricetracker.in/gen/products/66f0b4d9e87653671be952d086524849
172,processor,IntelÂ® PentiumÂ® Gold G6405 Desktop Processor 2 Core up to 4.1 GHz LGA1200 (IntelÂ® 400 Series chipset) 58W BX80701G6405,IntelÂ® PentiumÂ® Gold G6405 Desktop Processor 2 Core up to 4.1 GHz LGA1200 (IntelÂ® 400 Series chipset) 58W BX80701G6405,pcpricetracker.in/gen/products/426ab995014de0bcedaef5d3d21d2b89
173,processor,AMD Ryzen 3 3200G Open Box OEM Processor with Stock Cooler + ASUS Prime A320M-K AM4 Micro-ATX Motherboard,AMD Ryzen 3 3200G Open Box OEM Processor with Stock Cooler + ASUS Prime A320M-K AM4 Micro-ATX Motherboard,pcpricetracker.in/gen/products/88a6ef22647f09a73b3dfcdbd14971c9
174,processor,AMD A6-7480 Desktop Processor Upto 3.8 GHz Dual Core 2-Thread FM2+ Socket,AMD A6-7480 Desktop Processor Upto 3.8 GHz Dual Core 2-Thread FM2+ Socket,pcpricetracker.in/gen/products/9d54866d9a65027f9ffa66c853d40a52
175,processor,INTEL CELERON G5900 PROCESSOR,INTEL CELERON G5900 PROCESSOR,pcpricetracker.in/gen/products/80ce2f69540f32a686306bbb89067c0d
176,processor,INTEL CORE I5-11600KF DESKTOP PROCESSOR,INTEL CORE I5-11600KF DESKTOP PROCESSOR,pcpricetracker.in/gen/products/850a06e3a05f029ea3cb6b04aa4dadcf
177,processor,Intel Pentium Dual Core G4560 Processor,Intel Pentium Dual Core G4560 Processor,pcpricetracker.in/gen/products/39c2449db4480435df84ecdde1837e5f
178,processor,INTEL CELERON G5925 3.6 GHz DUAL-CORE LGA 1200 PROCESSOR,INTEL CELERON G5925 3.6 GHz DUAL-CORE LGA 1200 PROCESSOR,pcpricetracker.in/gen/products/ecc8cd4e07e2afaae7ab1efdf4571bf1
179,processor,11th Gen IntelÂ® Core i7-11700KF Desktop Processor 8 Cores up to 5.0GHz Unlocked Without Processor Graphics LGA 1200  (IntelÂ® 500 Series Chipset) 125W BX8070811700KF,11th Gen IntelÂ® Core i7-11700KF Desktop Processor 8 Cores up to 5.0GHz Unlocked Without Processor Graphics LGA 1200  (IntelÂ® 500 Series Chipset) 125W BX8070811700KF,pcpricetracker.in/gen/products/ebb9041e6b1af65ee751b5e707c8cbae
180,processor,AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AMD Radeon R7 Graphics Desktop Processor AD9600AGABBOX,AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AMD Radeon R7 Graphics Desktop Processor AD9600AGABBOX @ AD9600AGABBOX,pcpricetracker.in/gen/products/167e2a143417889d82b84ebaa8447a5d
181,processor,Intel Core i5-12400 12th Gen Alder Lake Processor,Intel Core i5-12400 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/cc32ab539e05946d46ce157a80a0b2af
182,processor,Intel Core i5-12600 12th Gen Alder Lake Processor,Intel Core i5-12600 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/843a69f76bd23e7c7ec36ba426320ed6
183,processor,Intel Core i5-12600K 12th Gen Alder Lake Processor,Intel Core i5-12600K 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/53693d5c149a5f1b591ad99face1d929
184,processor,Intel Core i7-12700 12th Gen Alder Lake Processor,Intel Core i7-12700 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/cbd4a74d8a67a38cd5a71e978237ec43
185,processor,Intel Core i7-12700K 12th Gen Alder Lake Processor,Intel Core i7-12700K 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/ad2e25c19e6e28b894b7ba5cc5f1a488
186,processor,Intel Core i9-12900 12th Gen Alder Lake Processor,Intel Core i9-12900 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/e72894b44a69f17425c40ffc7b6e426b
187,processor,Intel Core i9-12900K 12th Gen Alder Lake Processor,Intel Core i9-12900K 12th Gen Alder Lake Processor,pcpricetracker.in/gen/products/491efe86010d1f72833c8c525fdec455
188,processor,INTEL CORE I7 11700F 11TH GEN DESKTOP PROCESSOR WITH 8 CORES AND 16 THREADS,INTEL CORE I7 11700F 11TH GEN DESKTOP PROCESSOR WITH 8 CORES AND 16 THREADS,pcpricetracker.in/gen/products/edeceb3e6ac7fbbbb017f75b275711c5
189,processor,Intel Core i7-12700KF 3.6 GHz 12-Core LGA 1700 Processor BX8071512700KF,Intel Core i7-12700KF 3.6 GHz 12-Core LGA 1700 Processor BX8071512700KF,pcpricetracker.in/gen/products/0f0a7d47596db9617fb08a4983c6f5f7
190,processor,Intel Core i9-12900KF 12th Gen Alder Lake LGA 1700 Processor BX8071512900KF,Intel Core i9-12900KF 12th Gen Alder Lake LGA 1700 Processor BX8071512900KF @ BX8071512900KF,pcpricetracker.in/gen/products/cb6e475c81a48dc78f2cabc2117bac75
191,processor,10th Gen Intel Core i9-10850K Open Box OEM Processor 10 Cores up to 5.2 GHz Unlocked LGA 1200 (Intel 400 Series Chipset) 95W BX8070110850K,10th Gen Intel Core i9-10850K Open Box OEM Processor 10 Cores up to 5.2 GHz Unlocked LGA 1200 (Intel 400 Series Chipset) 95W BX8070110850K @ Gen,pcpricetracker.in/gen/products/ef8faa65de1981fa7ad4420604036c40
